kind,start,end,class,src,motivo
data,120360,120366,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,120370,120374,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,120414,120418,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,120430,120434,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,121294,121298,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,121306,121310,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,121630,121634,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,121702,121706,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,121934,121938,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,121990,121994,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,122518,122522,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,122530,122534,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,122878,122882,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,122934,122938,padding,,all-zero word filler
data,123222,123226,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,123246,123250,padding,,all-zero word filler
data,123844,123850,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,123904,123910,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,124202,124206,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,124218,124222,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,124234,124238,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,124404,124408,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,124914,124918,padding,,all-zero word filler
data,125238,125242,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,126894,126898,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,127062,127066,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,128750,128754,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,128772,128778,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,129054,129058,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,129202,129206,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,129506,129510,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,129536,129542,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,129678,129682,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,129700,129704,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,130302,130306,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,130410,130414,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,130702,130706,padding,,all-0xFFFF filler (stray pcrel ref x1)
