addr_start,addr_end,word_count,class,notes
295348,295352,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
295354,295360,3,literal_pool,pcrel refs 2/3 words (mov.wx2)
295820,295824,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
296148,296160,6,literal_pool,pcrel refs 4/6 words (mov.wx3+mov.lx1)
296490,296496,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
296782,296788,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
297530,297538,4,literal_pool,pcrel refs 4/4 words (mov.wx4)
298776,298780,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
298782,298788,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
299148,299154,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
299394,299398,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
299406,299410,2,padding,all-0xFFFF filler (stray pcrel ref x1)
299420,299424,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
299752,299756,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
300556,300560,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
301056,301060,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
301844,301850,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
302358,302362,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
302654,302658,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
302840,302844,2,literal_pool,pcrel refs 1/2 words (mov.wx1)
303032,303038,3,literal_pool,pcrel refs 3/3 words (mov.wx3)
304326,304330,2,padding,all-0xFFFF filler (stray pcrel ref x1)
304658,304662,2,padding,all-zero word filler
304666,304670,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
304762,304766,2,padding,all-0xFFFF filler (stray pcrel ref x1)
304994,304998,2,padding,all-0xFFFF filler (stray pcrel ref x1)
305324,305328,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
305898,305902,2,padding,all-0xFFFF filler (stray pcrel ref x1)
306382,306386,2,padding,all-0xFFFF filler (stray pcrel ref x1)
306400,306406,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
307906,307910,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
308858,308862,2,padding,all-0xFFFF filler (stray pcrel ref x1)
309290,309294,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
309896,309900,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
310150,310154,2,padding,all-0xFFFF filler (stray pcrel ref x1)
310194,310198,2,padding,all-zero word filler
310584,310590,3,literal_pool,pcrel refs 2/3 words (movax1+mov.lx1)
311516,311520,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
311822,311826,2,literal_pool,pcrel refs 1/2 words (mov.lx1+movax1)
311856,311860,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
311864,311868,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
312130,312134,2,padding,all-0xFFFF filler (stray pcrel ref x1)
312162,312166,2,padding,all-zero word filler
312170,312174,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
312422,312426,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
312446,312450,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
312484,312488,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
312734,312738,2,padding,all-0xFFFF filler (stray pcrel ref x1)
312752,312756,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
312784,312788,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
314208,314212,2,literal_pool,pcrel refs 1/2 words (movax1)
314766,314770,2,padding,all-0xFFFF filler (stray pcrel ref x1)
315770,315774,2,padding,all-0xFFFF filler (stray pcrel ref x1)
315942,315946,2,padding,all-0xFFFF filler (stray pcrel ref x1)
316446,316450,2,padding,all-0xFFFF filler (stray pcrel ref x1)
317798,317802,2,padding,all-0xFFFF filler (stray pcrel ref x1)
318354,318358,2,padding,all-0xFFFF filler (stray pcrel ref x1)
321598,321602,2,padding,all-0xFFFF filler (stray pcrel ref x1)
321604,321610,3,literal_pool,pcrel refs 2/3 words (movax1+mov.lx1)
321612,321616,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
321856,321860,2,literal_pool,pcrel refs 1/2 words (movax1)
321862,321898,18,unknown_data,
321900,321906,3,unknown_data,
321910,321914,2,unknown_data,
321916,321922,3,unknown_data,
321926,321930,2,unknown_data,
321932,321940,4,unknown_data,
321942,321946,2,unknown_data,
321948,321956,4,unknown_data,
321958,321962,2,unknown_data,
321964,321972,4,unknown_data,
321974,321978,2,unknown_data,
321980,321988,4,unknown_data,
321990,321994,2,unknown_data,
321996,322004,4,unknown_data,
322006,322010,2,unknown_data,
322012,322020,4,unknown_data,
322022,322026,2,unknown_data,
322028,322036,4,padding,0x00xx-pattern run (high byte 0x00)
322038,322042,2,unknown_data,
322044,322052,4,unknown_data,
322054,322058,2,unknown_data,
322060,322068,4,unknown_data,
322070,322074,2,unknown_data,
322076,322084,4,unknown_data,
322086,322090,2,unknown_data,
322092,322098,3,unknown_data,
322102,322106,2,unknown_data,
322108,322116,4,padding,0x00xx-pattern run (high byte 0x00)
322118,322122,2,unknown_data,
322124,322132,4,unknown_data,
322134,322138,2,unknown_data,
322140,322154,7,unknown_data,
322156,322162,3,unknown_data,
322166,322170,2,unknown_data,
