addr,name,source
0x02ED54,calculateACClutchOn??,ghidra-hand
0x02EFD4,calcACCompressorRequest,ghidra-hand
0x02F5DA,acCompressorControlMain???,ghidra-hand
0x02F640,initFanControl,ghidra-hand
0x02F694,setFanOutputGPIO,ghidra-hand
0x02F718,initFanControl,ghidra-hand
0x02F71E,fanControlMain,ghidra-hand
0x02F764,calcFanControlFaultRelated_MAYBE,ghidra-hand
0x02F9D2,calcFan1Control,ghidra-hand
0x02FB14,calcFan2Control,ghidra-hand
0x02FD20,getACSwitchStatus,ghidra-hand
0x02FE14,getOBDFuelModificationRequest,ghidra-hand
0x02FE88,filterFuelVolumeRequest,ghidra-hand
0x02FEB4,calculateFuelingRequestMaxForOBDControl,ghidra-hand
0x02FFD8,fuelingAddOBDControlMode?,ghidra-hand
0x0301B0,calculateEngineTemperatures,ghidra-hand
0x0301F6,getInjectorTempBasedMultiplierLookups,ghidra-hand
0x030268,getEstimatedManifoldPressure,ghidra-hand
